Galaxy       Sig_gas       SFR        err_sig_gas    err_SFR	tdyn
IC0676      204.324     0.308939      67.2119     0.118934	66.1
IC0719      21.2278    0.0208678      4.21187   0.00587893	51.5
IC1024      172.713     0.123525      41.1221    0.0384101	63.2
NGC0524      15.2793   0.00197140      3.08937   0.00121529	18.3
NGC1222      1313.47      1.98981      746.290      1.19857	65.8
NGC1266      27000.0      18.6452      3443.88      4.42285	16.8
NGC2764      209.515     0.153921      8.11778    0.0313566	119.7
NGC2824      149.152    0.0715955      54.8275    0.0299613	37.6
NGC3032      28.5998    0.0237171      3.92331   0.00575199	56.4
NGC3182      44.5536    0.0234897      13.3464   0.00846072	39.2
NGC3489      38.1912    0.0640138      13.5026    0.0260025	18.3
NGC3607      35.2715   0.00921748      5.60853   0.00235514	24.2
NGC3619      64.6585    0.0184300      19.7134   0.00672013	10.0
NGC3626      140.238     0.196100      7.34542    0.0405426	35.8
NGC3665      129.612    0.0111117      29.0965   0.00334082	25.7
NGC4119      44.2347    0.0105861      8.86111   0.00299661	38.5
NGC4150      50.8274    0.0507850      12.7069    0.0162591	41.7
NGC4324      48.5200    0.0175112      1.42953   0.00354003	79.8
NGC4429      59.5841    0.0330297      10.3882   0.00876354	11.9
NGC4435      58.6900    0.0387410      15.2028    0.0126784	8.1
NGC4459      25.8908    0.0186924      3.45068   0.00449253	11.4
NGC4476      8.62567   0.00323997     0.902739  0.000731351	36.5
NGC4477      24.0823    0.0118143      7.10217   0.00420982	5.6
NGC4526      174.928     0.100250      41.2567    0.0310006	14.9
NGC4694      115.612    0.0593996      40.8749    0.0241282	73.0
NGC4710      407.172     0.108413      9.59714    0.0218327	91.5
NGC4753      105.400    0.0269040      23.7388   0.00810370	33.4
NGC5379      69.8727   0.00886885      20.5508   0.00315443	131.2
NGC5866      237.701     0.211678      5.33588    0.0426014	58.7    
NGC6014      158.805    0.0268398      65.6191    0.0123211     19.1         
NGC7465      174.044     0.154528      37.7130    0.0455669     64.0        
PGC029321      251.412     0.695434      172.399     0.496744   45.1         
PGC058114      501.636     0.551542      245.900     0.292001   1.8     
UGC05408      1384.17      2.13490      951.875      1.52897    34.9      
UGC06176      986.551      1.11600      441.294     0.546822    10.2     
UGC09519      118.142    0.0203360      32.2902   0.00688735	25.0
